country,date,GDPPC,Government expenditure on education,Female share of employment in senior and middle management
Andorra,2000-01-01,,,
Andorra,2001-01-01,,,
Andorra,2002-01-01,,1.65971004962921,
Andorra,2003-01-01,,,
Andorra,2004-01-01,,1.54411995410919,
Andorra,2005-01-01,,1.64497005939484,
Andorra,2006-01-01,,2.24489998817444,
Andorra,2007-01-01,,2.10469007492065,
Andorra,2008-01-01,,2.87392997741699,
Andorra,2009-01-01,,3.14292001724243,
Andorra,2010-01-01,,2.97662997245789,
Andorra,2011-01-01,,2.98706007003784,
Andorra,2012-01-01,,,
Andorra,2013-01-01,,2.50616002082825,
Andorra,2014-01-01,,3.07420992851257,
Andorra,2015-01-01,,3.28034996986389,
Andorra,2016-01-01,,3.23707008361816,
Andorra,2017-01-01,,3.21708989143372,
Andorra,2018-01-01,,3.2467200756073,
Andorra,2019-01-01,,3.15060997009277,
Andorra,2020-01-01,,,
Andorra,2025-01-01,,,
Andorra,2030-01-01,,,
Andorra,2035-01-01,,,
Andorra,2040-01-01,,,
Andorra,2045-01-01,,,
Andorra,2050-01-01,,,
Andorra,2055-01-01,,,
Andorra,2060-01-01,,,
Andorra,2065-01-01,,,
Andorra,2070-01-01,,,
Andorra,2075-01-01,,,
Andorra,2080-01-01,,,
Andorra,2085-01-01,,,
Andorra,2090-01-01,,,
Andorra,2095-01-01,,,
Andorra,2100-01-01,,,
Antigua and Barbuda,2000-01-01,,,
Antigua and Barbuda,2001-01-01,,,
Antigua and Barbuda,2002-01-01,,3.39525008201599,
Antigua and Barbuda,2003-01-01,,,
Antigua and Barbuda,2004-01-01,,,
Antigua and Barbuda,2005-01-01,,,
Antigua and Barbuda,2006-01-01,,,
Antigua and Barbuda,2007-01-01,,,
Antigua and Barbuda,2008-01-01,,,
Antigua and Barbuda,2009-01-01,,2.50888991355896,
Antigua and Barbuda,2010-01-01,,,
Antigua and Barbuda,2011-01-01,,,
Antigua and Barbuda,2012-01-01,,,
Antigua and Barbuda,2013-01-01,,,
Antigua and Barbuda,2014-01-01,,,
